metabolite	batch_effect_applied	batch_effect_strength	drift_effect_applied_any_plate	n_plates_with_drift	drift_type_linear	drift_type_nonlinear	drift_type_ar1	drift_type_mixed
M525	FALSE	none	FALSE	0	0	0	0	0
M526	TRUE	moderate	FALSE	0	0	0	0	0
M527	TRUE	moderate	FALSE	0	0	0	0	0
M528	FALSE	none	TRUE	1	0	0	0	1
M529	FALSE	none	FALSE	0	0	0	0	0
M530	FALSE	none	TRUE	2	0	1	0	1
M531	FALSE	none	FALSE	0	0	0	0	0
M532	FALSE	none	FALSE	0	0	0	0	0
M533	TRUE	moderate	FALSE	0	0	0	0	0
M534	TRUE	moderate	TRUE	1	0	1	0	0
M535	TRUE	moderate	TRUE	4	0	1	0	3
M536	TRUE	moderate	TRUE	2	0	1	0	1
M537	TRUE	moderate	FALSE	0	0	0	0	0
M538	FALSE	none	TRUE	1	0	0	0	1
M539	FALSE	none	TRUE	1	0	1	0	0
M540	TRUE	moderate	TRUE	3	1	2	0	0
M541	FALSE	none	FALSE	0	0	0	0	0
M542	TRUE	moderate	TRUE	3	1	1	0	1
M543	TRUE	moderate	TRUE	3	0	3	0	0
M544	TRUE	moderate	FALSE	0	0	0	0	0
M545	FALSE	none	TRUE	1	0	1	0	0
M546	TRUE	moderate	FALSE	0	0	0	0	0
M547	TRUE	moderate	TRUE	4	2	1	1	0
M548	FALSE	none	TRUE	1	1	0	0	0
M549	TRUE	moderate	FALSE	0	0	0	0	0
M550	TRUE	moderate	TRUE	4	2	2	0	0
M551	FALSE	none	TRUE	3	0	2	1	0
M552	TRUE	moderate	TRUE	5	1	1	0	3
M553	FALSE	none	FALSE	0	0	0	0	0
M554	TRUE	strong	FALSE	0	0	0	0	0
M555	TRUE	moderate	TRUE	3	1	1	1	0
M556	TRUE	moderate	FALSE	0	0	0	0	0
M557	TRUE	moderate	TRUE	4	1	1	1	1
M558	TRUE	moderate	TRUE	3	0	2	0	1
M559	FALSE	none	FALSE	0	0	0	0	0
M560	TRUE	moderate	FALSE	0	0	0	0	0
M561	FALSE	none	TRUE	3	0	3	0	0
M562	TRUE	moderate	TRUE	1	0	0	0	1
M563	TRUE	moderate	TRUE	3	1	2	0	0
M564	FALSE	none	FALSE	0	0	0	0	0
M565	TRUE	moderate	TRUE	4	0	3	0	1
M566	FALSE	none	TRUE	2	2	0	0	0
M567	FALSE	none	TRUE	3	1	1	0	1
M568	TRUE	moderate	FALSE	0	0	0	0	0
M569	FALSE	none	FALSE	0	0	0	0	0
M570	FALSE	none	FALSE	0	0	0	0	0
M571	TRUE	moderate	TRUE	2	2	0	0	0
M572	TRUE	moderate	TRUE	1	1	0	0	0
M573	FALSE	none	TRUE	3	1	1	0	1
M574	TRUE	moderate	TRUE	4	0	2	0	2
M575	FALSE	none	TRUE	2	2	0	0	0
M576	TRUE	moderate	FALSE	0	0	0	0	0
M577	TRUE	moderate	FALSE	0	0	0	0	0
M578	TRUE	moderate	TRUE	1	0	1	0	0
M579	TRUE	moderate	TRUE	3	2	0	1	0
M580	FALSE	none	TRUE	2	1	1	0	0
M581	FALSE	none	TRUE	5	3	0	0	2
M582	TRUE	moderate	TRUE	4	1	2	1	0
M583	TRUE	moderate	FALSE	0	0	0	0	0
M584	TRUE	moderate	TRUE	3	2	1	0	0
M585	TRUE	moderate	FALSE	0	0	0	0	0
M586	TRUE	moderate	FALSE	0	0	0	0	0
M587	TRUE	moderate	FALSE	0	0	0	0	0
M588	FALSE	none	TRUE	1	0	1	0	0
M589	TRUE	strong	TRUE	1	1	0	0	0
M590	TRUE	moderate	FALSE	0	0	0	0	0
M591	FALSE	none	FALSE	0	0	0	0	0
M592	TRUE	moderate	TRUE	3	1	0	0	2
M593	TRUE	moderate	FALSE	0	0	0	0	0
M594	TRUE	moderate	TRUE	2	2	0	0	0
M595	TRUE	strong	TRUE	4	2	0	0	2
M596	TRUE	strong	FALSE	0	0	0	0	0
M597	TRUE	moderate	TRUE	2	2	0	0	0
M598	TRUE	moderate	TRUE	2	1	1	0	0
M599	TRUE	moderate	FALSE	0	0	0	0	0
M600	TRUE	moderate	FALSE	0	0	0	0	0
M601	TRUE	moderate	FALSE	0	0	0	0	0
M602	FALSE	none	FALSE	0	0	0	0	0
M603	TRUE	moderate	TRUE	2	1	1	0	0
M604	FALSE	none	TRUE	5	1	1	1	2
M605	TRUE	moderate	TRUE	4	1	1	1	1
M606	TRUE	moderate	TRUE	2	1	1	0	0
M607	TRUE	moderate	TRUE	3	1	1	0	1
M608	TRUE	moderate	FALSE	0	0	0	0	0
M609	TRUE	moderate	FALSE	0	0	0	0	0
M610	TRUE	moderate	TRUE	2	2	0	0	0
M611	FALSE	none	FALSE	0	0	0	0	0
M612	TRUE	moderate	TRUE	3	1	0	1	1
M613	TRUE	moderate	FALSE	0	0	0	0	0
M614	TRUE	moderate	TRUE	3	1	0	0	2
M615	TRUE	strong	TRUE	3	2	0	0	1
M616	TRUE	moderate	FALSE	0	0	0	0	0
M617	TRUE	moderate	TRUE	4	2	1	0	1
M618	TRUE	moderate	TRUE	2	2	0	0	0
M619	TRUE	strong	FALSE	0	0	0	0	0
M620	FALSE	none	FALSE	0	0	0	0	0
M621	TRUE	moderate	FALSE	0	0	0	0	0
M622	TRUE	moderate	TRUE	1	1	0	0	0
M623	TRUE	moderate	FALSE	0	0	0	0	0
M624	TRUE	moderate	FALSE	0	0	0	0	0
M625	FALSE	none	TRUE	3	0	2	0	1
M626	TRUE	moderate	TRUE	2	0	1	1	0
M627	FALSE	none	TRUE	1	0	1	0	0
M628	FALSE	none	TRUE	1	1	0	0	0
M629	TRUE	moderate	TRUE	3	1	1	1	0
M630	TRUE	moderate	TRUE	3	2	0	0	1
M631	TRUE	moderate	TRUE	3	1	0	0	2
M632	FALSE	none	FALSE	0	0	0	0	0
M633	FALSE	none	TRUE	1	0	1	0	0
M634	TRUE	moderate	TRUE	3	1	2	0	0
M635	TRUE	moderate	FALSE	0	0	0	0	0
M636	FALSE	none	FALSE	0	0	0	0	0
M637	TRUE	moderate	TRUE	2	1	0	0	1
M638	TRUE	strong	TRUE	3	1	1	0	1
M639	TRUE	moderate	FALSE	0	0	0	0	0
M640	FALSE	none	FALSE	0	0	0	0	0
M641	FALSE	none	FALSE	0	0	0	0	0
M642	TRUE	moderate	FALSE	0	0	0	0	0
M643	TRUE	moderate	TRUE	3	1	1	0	1
M644	TRUE	moderate	FALSE	0	0	0	0	0
M645	TRUE	moderate	TRUE	2	1	1	0	0
M646	TRUE	moderate	TRUE	5	1	2	1	1
M647	TRUE	moderate	FALSE	0	0	0	0	0
M648	FALSE	none	TRUE	3	0	1	1	1
M649	TRUE	moderate	TRUE	4	1	1	0	2
M650	FALSE	none	TRUE	4	1	0	1	2
M651	TRUE	moderate	FALSE	0	0	0	0	0
M652	TRUE	moderate	TRUE	2	0	2	0	0
M653	FALSE	none	FALSE	0	0	0	0	0
M654	TRUE	moderate	TRUE	2	1	1	0	0
M655	TRUE	moderate	TRUE	4	1	1	1	1
M656	FALSE	none	TRUE	4	1	2	1	0
M657	TRUE	moderate	FALSE	0	0	0	0	0
M658	TRUE	moderate	FALSE	0	0	0	0	0
M659	TRUE	moderate	FALSE	0	0	0	0	0
M660	TRUE	moderate	TRUE	2	0	0	1	1
M661	TRUE	moderate	TRUE	2	0	1	1	0
M662	TRUE	moderate	TRUE	2	1	1	0	0
M663	TRUE	moderate	FALSE	0	0	0	0	0
M664	TRUE	moderate	TRUE	4	1	0	0	3
M665	FALSE	none	FALSE	0	0	0	0	0
M666	TRUE	moderate	TRUE	4	1	0	1	2
M667	TRUE	moderate	TRUE	2	1	1	0	0
M668	TRUE	moderate	TRUE	2	1	1	0	0
M669	TRUE	moderate	TRUE	3	0	0	1	2
M670	FALSE	none	FALSE	0	0	0	0	0
M671	TRUE	moderate	FALSE	0	0	0	0	0
M672	TRUE	moderate	FALSE	0	0	0	0	0
M673	TRUE	moderate	FALSE	0	0	0	0	0
M674	FALSE	none	FALSE	0	0	0	0	0
M675	TRUE	moderate	TRUE	3	2	0	1	0
M676	FALSE	none	TRUE	5	3	0	1	1
M677	TRUE	moderate	FALSE	0	0	0	0	0
M678	TRUE	strong	TRUE	3	1	0	1	1
M679	FALSE	none	TRUE	3	0	3	0	0
M680	TRUE	moderate	FALSE	0	0	0	0	0
M681	FALSE	none	TRUE	2	2	0	0	0
M682	TRUE	moderate	FALSE	0	0	0	0	0
M683	FALSE	none	FALSE	0	0	0	0	0
M684	TRUE	moderate	FALSE	0	0	0	0	0
M685	FALSE	none	FALSE	0	0	0	0	0
M686	TRUE	moderate	TRUE	3	1	1	0	1
M687	TRUE	moderate	FALSE	0	0	0	0	0
M688	FALSE	none	FALSE	0	0	0	0	0
M689	TRUE	moderate	FALSE	0	0	0	0	0
M690	TRUE	strong	FALSE	0	0	0	0	0
M691	TRUE	moderate	TRUE	2	1	0	0	1
M692	TRUE	moderate	FALSE	0	0	0	0	0
M693	TRUE	moderate	TRUE	3	1	1	0	1
M694	TRUE	moderate	FALSE	0	0	0	0	0
M695	TRUE	moderate	TRUE	3	2	1	0	0
M696	TRUE	strong	TRUE	4	1	1	1	1
M697	FALSE	none	FALSE	0	0	0	0	0
M698	TRUE	moderate	FALSE	0	0	0	0	0
M699	TRUE	moderate	TRUE	3	1	1	0	1
M700	TRUE	moderate	TRUE	3	2	1	0	0
M701	TRUE	moderate	TRUE	3	1	1	0	1
M702	TRUE	moderate	FALSE	0	0	0	0	0
M703	TRUE	moderate	TRUE	3	1	2	0	0
M704	TRUE	moderate	FALSE	0	0	0	0	0
M705	TRUE	moderate	TRUE	1	1	0	0	0
M706	TRUE	strong	TRUE	1	1	0	0	0
M707	TRUE	moderate	FALSE	0	0	0	0	0
M708	TRUE	moderate	FALSE	0	0	0	0	0
M709	TRUE	moderate	TRUE	2	2	0	0	0
M710	TRUE	moderate	FALSE	0	0	0	0	0
M711	TRUE	moderate	TRUE	1	0	0	1	0
M712	TRUE	moderate	TRUE	1	0	0	0	1
M713	FALSE	none	TRUE	1	1	0	0	0
M714	FALSE	none	TRUE	2	1	1	0	0
M715	TRUE	moderate	TRUE	4	1	0	1	2
M716	TRUE	moderate	FALSE	0	0	0	0	0
M717	TRUE	moderate	TRUE	4	3	0	1	0
M718	FALSE	none	TRUE	3	2	1	0	0
M719	FALSE	none	FALSE	0	0	0	0	0
M720	TRUE	moderate	TRUE	3	0	1	0	2
M721	TRUE	moderate	TRUE	3	1	0	1	1
M722	TRUE	moderate	TRUE	2	1	1	0	0
M723	TRUE	moderate	FALSE	0	0	0	0	0
M724	TRUE	moderate	FALSE	0	0	0	0	0
M725	FALSE	none	TRUE	3	0	0	0	3
M726	TRUE	moderate	FALSE	0	0	0	0	0
M727	TRUE	moderate	FALSE	0	0	0	0	0
M728	FALSE	none	TRUE	3	0	1	1	1
M729	TRUE	moderate	FALSE	0	0	0	0	0
M730	FALSE	none	TRUE	2	1	0	0	1
M731	FALSE	none	FALSE	0	0	0	0	0
M732	FALSE	none	TRUE	4	2	2	0	0
M733	TRUE	moderate	TRUE	4	2	0	0	2
M734	TRUE	moderate	TRUE	5	3	0	1	1
M735	TRUE	moderate	TRUE	1	1	0	0	0
M736	TRUE	moderate	TRUE	4	2	0	1	1
M737	FALSE	none	FALSE	0	0	0	0	0
M738	TRUE	moderate	FALSE	0	0	0	0	0
M739	TRUE	moderate	FALSE	0	0	0	0	0
M740	TRUE	moderate	FALSE	0	0	0	0	0
M741	TRUE	moderate	TRUE	5	2	2	0	1
M742	TRUE	moderate	FALSE	0	0	0	0	0
M743	TRUE	moderate	TRUE	4	0	2	1	1
M744	FALSE	none	TRUE	1	1	0	0	0
M745	FALSE	none	TRUE	4	2	2	0	0
M746	TRUE	moderate	FALSE	0	0	0	0	0
M747	FALSE	none	TRUE	2	0	1	1	0
M748	TRUE	moderate	FALSE	0	0	0	0	0
M749	TRUE	strong	TRUE	3	2	1	0	0
M750	TRUE	moderate	FALSE	0	0	0	0	0
M751	TRUE	moderate	TRUE	1	1	0	0	0
M752	FALSE	none	FALSE	0	0	0	0	0
M753	TRUE	moderate	FALSE	0	0	0	0	0
M754	TRUE	moderate	FALSE	0	0	0	0	0
M755	FALSE	none	TRUE	3	2	1	0	0
M756	FALSE	none	TRUE	4	1	2	1	0
M757	TRUE	moderate	FALSE	0	0	0	0	0
M758	TRUE	moderate	TRUE	2	2	0	0	0
M759	TRUE	moderate	FALSE	0	0	0	0	0
M760	TRUE	moderate	TRUE	1	0	0	0	1
M761	FALSE	none	FALSE	0	0	0	0	0
M762	FALSE	none	FALSE	0	0	0	0	0
M763	TRUE	moderate	TRUE	2	0	1	1	0
M764	TRUE	moderate	FALSE	0	0	0	0	0
M765	TRUE	moderate	FALSE	0	0	0	0	0
M766	TRUE	moderate	TRUE	1	0	1	0	0
M767	FALSE	none	FALSE	0	0	0	0	0
M768	TRUE	moderate	FALSE	0	0	0	0	0
M769	TRUE	moderate	TRUE	2	1	1	0	0
M770	TRUE	moderate	TRUE	5	1	1	0	3
M771	TRUE	moderate	TRUE	2	1	0	0	1
M772	TRUE	moderate	TRUE	3	1	0	1	1
M773	TRUE	moderate	TRUE	2	0	1	1	0
M774	FALSE	none	FALSE	0	0	0	0	0
M775	TRUE	moderate	TRUE	1	0	0	1	0
M776	FALSE	none	FALSE	0	0	0	0	0
M777	TRUE	moderate	FALSE	0	0	0	0	0
M778	FALSE	none	FALSE	0	0	0	0	0
M779	TRUE	moderate	FALSE	0	0	0	0	0
M780	TRUE	moderate	TRUE	4	2	0	0	2
M781	TRUE	moderate	TRUE	3	3	0	0	0
M782	FALSE	none	TRUE	1	0	1	0	0
M783	FALSE	none	FALSE	0	0	0	0	0
M784	TRUE	moderate	TRUE	2	1	1	0	0
M785	FALSE	none	FALSE	0	0	0	0	0
M786	TRUE	moderate	TRUE	2	1	0	0	1
M787	TRUE	moderate	FALSE	0	0	0	0	0
M788	TRUE	moderate	FALSE	0	0	0	0	0
M789	TRUE	moderate	FALSE	0	0	0	0	0
M790	TRUE	moderate	TRUE	3	0	2	0	1
M791	TRUE	moderate	TRUE	4	2	1	0	1
M792	TRUE	strong	TRUE	2	0	2	0	0
M793	TRUE	strong	FALSE	0	0	0	0	0
M794	FALSE	none	TRUE	1	0	0	0	1
M795	TRUE	strong	TRUE	4	0	1	3	0
M796	TRUE	moderate	FALSE	0	0	0	0	0
M797	TRUE	moderate	TRUE	2	0	0	1	1
M798	FALSE	none	FALSE	0	0	0	0	0
M799	FALSE	none	TRUE	4	0	1	0	3
M800	TRUE	moderate	FALSE	0	0	0	0	0
M801	FALSE	none	TRUE	3	2	1	0	0
M802	TRUE	moderate	TRUE	3	0	3	0	0
M803	TRUE	moderate	TRUE	4	3	0	0	1
M804	TRUE	moderate	TRUE	2	1	1	0	0
M805	TRUE	moderate	FALSE	0	0	0	0	0
M806	TRUE	moderate	TRUE	3	3	0	0	0
M807	TRUE	moderate	TRUE	2	1	1	0	0
M808	TRUE	moderate	TRUE	3	1	0	1	1
M809	FALSE	none	TRUE	3	0	1	2	0
M810	FALSE	none	FALSE	0	0	0	0	0
M811	TRUE	moderate	TRUE	2	1	1	0	0
M812	TRUE	moderate	TRUE	4	2	2	0	0
M813	FALSE	none	TRUE	3	0	2	1	0
M814	TRUE	moderate	TRUE	4	0	3	0	1
M815	FALSE	none	FALSE	0	0	0	0	0
M816	TRUE	moderate	TRUE	1	0	0	0	1
M817	TRUE	moderate	TRUE	3	2	1	0	0
M818	TRUE	moderate	FALSE	0	0	0	0	0
M819	TRUE	moderate	TRUE	3	2	1	0	0
M820	TRUE	moderate	TRUE	3	1	2	0	0
M821	TRUE	moderate	TRUE	3	3	0	0	0
M822	FALSE	none	FALSE	0	0	0	0	0
M823	TRUE	moderate	TRUE	3	1	1	0	1
M824	TRUE	moderate	FALSE	0	0	0	0	0
M825	FALSE	none	TRUE	3	0	3	0	0
M826	TRUE	moderate	TRUE	2	0	1	1	0
M827	TRUE	moderate	TRUE	2	1	0	0	1
M828	FALSE	none	FALSE	0	0	0	0	0
M829	TRUE	moderate	FALSE	0	0	0	0	0
M830	TRUE	moderate	FALSE	0	0	0	0	0
M831	FALSE	none	TRUE	4	1	1	1	1
M832	TRUE	moderate	TRUE	4	0	2	0	2
M833	TRUE	moderate	TRUE	2	1	1	0	0
M834	TRUE	moderate	TRUE	3	1	1	1	0
M835	TRUE	moderate	TRUE	3	0	1	2	0
M836	TRUE	strong	TRUE	2	0	1	0	1
M837	TRUE	moderate	TRUE	3	2	1	0	0
M838	TRUE	moderate	TRUE	4	0	2	1	1
M839	FALSE	none	TRUE	3	0	1	0	2
M840	FALSE	none	TRUE	2	0	1	1	0
M841	TRUE	moderate	FALSE	0	0	0	0	0
M842	FALSE	none	TRUE	5	2	1	1	1
M843	TRUE	moderate	TRUE	2	1	1	0	0
M844	TRUE	moderate	TRUE	3	1	2	0	0
M845	TRUE	moderate	TRUE	2	1	0	1	0
M846	TRUE	moderate	TRUE	5	2	3	0	0
M847	TRUE	moderate	FALSE	0	0	0	0	0
M848	FALSE	none	FALSE	0	0	0	0	0
M849	TRUE	strong	TRUE	4	1	3	0	0
M850	FALSE	none	TRUE	2	0	1	0	1
M851	TRUE	moderate	TRUE	3	1	2	0	0
M852	FALSE	none	FALSE	0	0	0	0	0
M853	TRUE	moderate	TRUE	4	1	1	1	1
M854	TRUE	strong	TRUE	3	3	0	0	0
M855	TRUE	moderate	FALSE	0	0	0	0	0
M856	TRUE	moderate	FALSE	0	0	0	0	0
M857	TRUE	moderate	FALSE	0	0	0	0	0
M858	TRUE	moderate	FALSE	0	0	0	0	0
M859	TRUE	moderate	FALSE	0	0	0	0	0
M860	TRUE	moderate	TRUE	4	2	2	0	0
M861	TRUE	moderate	FALSE	0	0	0	0	0
M862	TRUE	moderate	TRUE	2	0	0	0	2
M863	TRUE	moderate	FALSE	0	0	0	0	0
M864	TRUE	moderate	FALSE	0	0	0	0	0
M865	FALSE	none	TRUE	2	0	0	2	0
M866	FALSE	none	TRUE	1	1	0	0	0
M867	TRUE	moderate	TRUE	4	1	0	2	1
M868	FALSE	none	FALSE	0	0	0	0	0
M869	FALSE	none	TRUE	4	2	1	0	1
M870	TRUE	moderate	FALSE	0	0	0	0	0
M871	TRUE	moderate	TRUE	2	1	0	1	0
M872	TRUE	moderate	TRUE	2	0	0	1	1
M873	TRUE	moderate	TRUE	2	0	2	0	0
M874	TRUE	moderate	TRUE	4	1	0	0	3
M875	TRUE	moderate	TRUE	4	1	0	0	3
M876	TRUE	moderate	TRUE	3	0	2	1	0
M877	TRUE	moderate	TRUE	3	0	1	1	1
M878	TRUE	moderate	TRUE	3	1	1	0	1
M879	TRUE	moderate	TRUE	2	1	1	0	0
M880	TRUE	moderate	FALSE	0	0	0	0	0
M881	TRUE	moderate	TRUE	2	0	0	1	1
M882	TRUE	moderate	TRUE	2	1	0	0	1
M883	TRUE	moderate	TRUE	3	2	0	1	0
M884	FALSE	none	TRUE	1	1	0	0	0
M885	TRUE	moderate	TRUE	1	0	0	1	0
M886	TRUE	moderate	TRUE	3	1	1	0	1
M887	FALSE	none	TRUE	2	1	1	0	0
M888	TRUE	moderate	FALSE	0	0	0	0	0
M889	TRUE	strong	TRUE	2	0	0	1	1
M890	TRUE	moderate	TRUE	1	1	0	0	0
M891	TRUE	moderate	FALSE	0	0	0	0	0
M892	TRUE	moderate	TRUE	1	1	0	0	0
M893	TRUE	moderate	TRUE	2	1	0	0	1
M894	TRUE	strong	TRUE	2	0	1	0	1
M895	TRUE	moderate	TRUE	3	1	0	1	1
M896	TRUE	moderate	TRUE	3	1	1	0	1
M897	TRUE	moderate	TRUE	3	1	1	1	0
M898	TRUE	moderate	TRUE	4	1	2	0	1
M899	FALSE	none	TRUE	3	1	1	0	1
M900	TRUE	moderate	TRUE	3	0	1	1	1
M901	TRUE	moderate	TRUE	4	2	1	1	0
M902	TRUE	strong	TRUE	3	2	0	1	0
M903	TRUE	moderate	TRUE	2	0	1	0	1
M904	TRUE	moderate	FALSE	0	0	0	0	0
M905	FALSE	none	TRUE	3	1	1	1	0
M906	TRUE	moderate	TRUE	3	2	0	0	1
M907	TRUE	moderate	TRUE	1	0	1	0	0
M908	TRUE	moderate	TRUE	2	1	1	0	0
M909	TRUE	moderate	TRUE	2	2	0	0	0
M910	TRUE	moderate	TRUE	3	0	3	0	0
M911	TRUE	moderate	FALSE	0	0	0	0	0
M912	TRUE	moderate	FALSE	0	0	0	0	0
M913	TRUE	moderate	TRUE	2	0	0	0	2
M914	TRUE	moderate	TRUE	3	3	0	0	0
M915	TRUE	strong	FALSE	0	0	0	0	0
M916	TRUE	moderate	FALSE	0	0	0	0	0
M917	FALSE	none	TRUE	1	0	0	0	1
M918	TRUE	strong	TRUE	3	0	1	2	0
M919	FALSE	none	TRUE	2	2	0	0	0
M920	TRUE	moderate	FALSE	0	0	0	0	0
M921	TRUE	moderate	FALSE	0	0	0	0	0
M922	TRUE	moderate	FALSE	0	0	0	0	0
M923	TRUE	moderate	TRUE	1	0	1	0	0
M924	FALSE	none	TRUE	3	2	1	0	0
M925	TRUE	moderate	TRUE	4	2	0	1	1
M926	TRUE	moderate	TRUE	1	0	0	1	0
M927	TRUE	moderate	FALSE	0	0	0	0	0
M928	FALSE	none	TRUE	3	3	0	0	0
M929	TRUE	moderate	TRUE	2	1	1	0	0
M930	TRUE	moderate	TRUE	4	1	2	1	0
M931	FALSE	none	FALSE	0	0	0	0	0
M932	TRUE	moderate	TRUE	2	1	1	0	0
M933	FALSE	none	TRUE	3	1	0	1	1
M934	TRUE	moderate	TRUE	2	0	1	1	0
M935	TRUE	moderate	TRUE	2	0	1	0	1
M936	TRUE	strong	FALSE	0	0	0	0	0
M937	FALSE	none	TRUE	5	1	2	2	0
M938	TRUE	moderate	FALSE	0	0	0	0	0
M939	FALSE	none	TRUE	3	1	2	0	0
M940	TRUE	moderate	TRUE	3	0	1	0	2
M941	TRUE	moderate	FALSE	0	0	0	0	0
M942	TRUE	moderate	TRUE	4	1	1	1	1
M943	FALSE	none	TRUE	2	0	1	1	0
M944	TRUE	moderate	FALSE	0	0	0	0	0
M945	TRUE	moderate	FALSE	0	0	0	0	0
M946	FALSE	none	FALSE	0	0	0	0	0
M947	TRUE	strong	FALSE	0	0	0	0	0
M948	TRUE	moderate	TRUE	3	1	1	1	0
M949	FALSE	none	TRUE	4	1	2	0	1
M950	FALSE	none	TRUE	3	1	2	0	0
M951	FALSE	none	TRUE	5	2	1	1	1
M952	TRUE	moderate	TRUE	2	0	1	1	0
M953	TRUE	moderate	FALSE	0	0	0	0	0
M954	TRUE	moderate	TRUE	3	2	0	0	1
M955	TRUE	moderate	FALSE	0	0	0	0	0
M956	TRUE	moderate	FALSE	0	0	0	0	0
M957	TRUE	moderate	FALSE	0	0	0	0	0
M958	FALSE	none	FALSE	0	0	0	0	0
M959	FALSE	none	TRUE	3	2	0	0	1
M960	TRUE	moderate	TRUE	2	0	1	0	1
M961	TRUE	moderate	TRUE	3	1	0	2	0
M962	FALSE	none	TRUE	4	0	1	3	0
M963	TRUE	moderate	TRUE	2	2	0	0	0
M964	FALSE	none	TRUE	2	0	1	0	1
M965	FALSE	none	TRUE	3	1	0	1	1
M966	TRUE	moderate	FALSE	0	0	0	0	0
M967	TRUE	strong	FALSE	0	0	0	0	0
M968	TRUE	moderate	TRUE	5	3	0	0	2
M969	TRUE	moderate	FALSE	0	0	0	0	0
M970	TRUE	moderate	TRUE	5	2	2	1	0
M971	TRUE	moderate	FALSE	0	0	0	0	0
M972	FALSE	none	FALSE	0	0	0	0	0
M973	TRUE	moderate	FALSE	0	0	0	0	0
M974	TRUE	moderate	FALSE	0	0	0	0	0
M975	TRUE	moderate	FALSE	0	0	0	0	0
M976	FALSE	none	TRUE	4	2	1	0	1
M977	TRUE	moderate	TRUE	2	1	1	0	0
M978	FALSE	none	TRUE	3	1	1	0	1
M979	FALSE	none	TRUE	3	1	0	1	1
M980	TRUE	moderate	TRUE	3	0	1	2	0
M981	TRUE	moderate	TRUE	4	0	2	2	0
M982	FALSE	none	TRUE	2	0	0	2	0
M983	FALSE	none	FALSE	0	0	0	0	0
M984	TRUE	moderate	FALSE	0	0	0	0	0
M985	TRUE	moderate	TRUE	3	2	1	0	0
M986	TRUE	moderate	FALSE	0	0	0	0	0
M987	TRUE	moderate	TRUE	3	1	0	0	2
M988	TRUE	moderate	TRUE	3	2	1	0	0
M989	FALSE	none	TRUE	3	0	1	1	1
M990	TRUE	moderate	TRUE	3	2	1	0	0
M991	FALSE	none	FALSE	0	0	0	0	0
M992	FALSE	none	FALSE	0	0	0	0	0
M993	FALSE	none	FALSE	0	0	0	0	0
M994	TRUE	moderate	TRUE	5	0	2	0	3
M995	FALSE	none	TRUE	3	2	0	1	0
M996	FALSE	none	FALSE	0	0	0	0	0
M997	TRUE	strong	TRUE	1	1	0	0	0
M998	FALSE	none	TRUE	2	0	1	1	0
M999	TRUE	moderate	TRUE	3	2	1	0	0
M1000	TRUE	moderate	TRUE	3	1	1	1	0
