"sample_id","plate","order_in_plate","run_order","sample_type","batch","within_batch_order","class","is_qc","is_hidden_reference","reference_role"
"S333","P4",33,333,"sample","P4",33,"Study",FALSE,FALSE,"not_a_control"
"S334","P4",34,334,"sample","P4",34,"Study",FALSE,FALSE,"not_a_control"
"S335","P4",35,335,"sample","P4",35,"Study",FALSE,FALSE,"not_a_control"
"S336","P4",36,336,"sample","P4",36,"Study",FALSE,FALSE,"not_a_control"
"S337","P4",37,337,"sample","P4",37,"Study",FALSE,FALSE,"not_a_control"
"S338","P4",38,338,"sample","P4",38,"Study",FALSE,FALSE,"not_a_control"
"S339","P4",39,339,"sample","P4",39,"Study",FALSE,FALSE,"not_a_control"
"S340","P4",40,340,"sample","P4",40,"Study",FALSE,FALSE,"not_a_control"
"S341","P4",41,341,"control","P4",41,"QC",TRUE,FALSE,"training_control"
"S342","P4",42,342,"sample","P4",42,"Study",FALSE,FALSE,"not_a_control"
"S343","P4",43,343,"sample","P4",43,"Study",FALSE,FALSE,"not_a_control"
"S344","P4",44,344,"sample","P4",44,"Study",FALSE,FALSE,"not_a_control"
"S345","P4",45,345,"sample","P4",45,"Study",FALSE,FALSE,"not_a_control"
"S346","P4",46,346,"sample","P4",46,"Study",FALSE,FALSE,"not_a_control"
"S347","P4",47,347,"sample","P4",47,"Study",FALSE,FALSE,"not_a_control"
"S348","P4",48,348,"sample","P4",48,"Study",FALSE,FALSE,"not_a_control"
"S349","P4",49,349,"sample","P4",49,"Study",FALSE,FALSE,"not_a_control"
"S350","P4",50,350,"sample","P4",50,"Study",FALSE,FALSE,"not_a_control"
"S351","P4",51,351,"control","P4",51,"QC",TRUE,FALSE,"training_control"
"S352","P4",52,352,"sample","P4",52,"Study",FALSE,FALSE,"not_a_control"
"S353","P4",53,353,"sample","P4",53,"Study",FALSE,FALSE,"not_a_control"
"S354","P4",54,354,"sample","P4",54,"Study",FALSE,FALSE,"not_a_control"
"S355","P4",55,355,"sample","P4",55,"Study",FALSE,FALSE,"not_a_control"
"S356","P4",56,356,"sample","P4",56,"Study",FALSE,FALSE,"not_a_control"
"S357","P4",57,357,"sample","P4",57,"Study",FALSE,FALSE,"not_a_control"
"S358","P4",58,358,"sample","P4",58,"Study",FALSE,FALSE,"not_a_control"
"S359","P4",59,359,"sample","P4",59,"Study",FALSE,FALSE,"not_a_control"
"S360","P4",60,360,"sample","P4",60,"Study",FALSE,FALSE,"not_a_control"
"S361","P4",61,361,"control","P4",61,"QC",TRUE,FALSE,"training_control"
"S362","P4",62,362,"sample","P4",62,"Study",FALSE,FALSE,"not_a_control"
"S363","P4",63,363,"sample","P4",63,"Study",FALSE,FALSE,"not_a_control"
"S364","P4",64,364,"sample","P4",64,"Study",FALSE,FALSE,"not_a_control"
"S365","P4",65,365,"sample","P4",65,"Study",FALSE,FALSE,"not_a_control"
"S366","P4",66,366,"sample","P4",66,"Study",FALSE,FALSE,"not_a_control"
"S367","P4",67,367,"sample","P4",67,"Study",FALSE,FALSE,"not_a_control"
"S368","P4",68,368,"sample","P4",68,"Study",FALSE,FALSE,"not_a_control"
"S369","P4",69,369,"sample","P4",69,"Study",FALSE,FALSE,"not_a_control"
"S370","P4",70,370,"sample","P4",70,"Study",FALSE,FALSE,"not_a_control"
"S371","P4",71,371,"control","P4",71,"QC",TRUE,TRUE,"hidden_test"
"S372","P4",72,372,"sample","P4",72,"Study",FALSE,FALSE,"not_a_control"
"S373","P4",73,373,"sample","P4",73,"Study",FALSE,FALSE,"not_a_control"
"S374","P4",74,374,"sample","P4",74,"Study",FALSE,FALSE,"not_a_control"
"S375","P4",75,375,"sample","P4",75,"Study",FALSE,FALSE,"not_a_control"
"S376","P4",76,376,"sample","P4",76,"Study",FALSE,FALSE,"not_a_control"
"S377","P4",77,377,"sample","P4",77,"Study",FALSE,FALSE,"not_a_control"
"S378","P4",78,378,"sample","P4",78,"Study",FALSE,FALSE,"not_a_control"
"S379","P4",79,379,"sample","P4",79,"Study",FALSE,FALSE,"not_a_control"
"S380","P4",80,380,"sample","P4",80,"Study",FALSE,FALSE,"not_a_control"
"S381","P4",81,381,"control","P4",81,"QC",TRUE,FALSE,"training_control"
"S382","P4",82,382,"sample","P4",82,"Study",FALSE,FALSE,"not_a_control"
"S383","P4",83,383,"sample","P4",83,"Study",FALSE,FALSE,"not_a_control"
"S384","P4",84,384,"sample","P4",84,"Study",FALSE,FALSE,"not_a_control"
"S385","P4",85,385,"sample","P4",85,"Study",FALSE,FALSE,"not_a_control"
"S386","P4",86,386,"sample","P4",86,"Study",FALSE,FALSE,"not_a_control"
"S387","P4",87,387,"sample","P4",87,"Study",FALSE,FALSE,"not_a_control"
"S388","P4",88,388,"sample","P4",88,"Study",FALSE,FALSE,"not_a_control"
"S389","P4",89,389,"sample","P4",89,"Study",FALSE,FALSE,"not_a_control"
"S390","P4",90,390,"sample","P4",90,"Study",FALSE,FALSE,"not_a_control"
"S391","P4",91,391,"control","P4",91,"QC",TRUE,TRUE,"hidden_test"
"S392","P4",92,392,"sample","P4",92,"Study",FALSE,FALSE,"not_a_control"
"S393","P4",93,393,"sample","P4",93,"Study",FALSE,FALSE,"not_a_control"
"S394","P4",94,394,"sample","P4",94,"Study",FALSE,FALSE,"not_a_control"
"S395","P4",95,395,"sample","P4",95,"Study",FALSE,FALSE,"not_a_control"
"S396","P4",96,396,"sample","P4",96,"Study",FALSE,FALSE,"not_a_control"
"S397","P4",97,397,"sample","P4",97,"Study",FALSE,FALSE,"not_a_control"
"S398","P4",98,398,"sample","P4",98,"Study",FALSE,FALSE,"not_a_control"
"S399","P4",99,399,"sample","P4",99,"Study",FALSE,FALSE,"not_a_control"
"S400","P4",100,400,"sample","P4",100,"Study",FALSE,FALSE,"not_a_control"
"S401","P5",1,401,"control","P5",1,"QC",TRUE,TRUE,"hidden_test"
"S402","P5",2,402,"sample","P5",2,"Study",FALSE,FALSE,"not_a_control"
"S403","P5",3,403,"sample","P5",3,"Study",FALSE,FALSE,"not_a_control"
"S404","P5",4,404,"sample","P5",4,"Study",FALSE,FALSE,"not_a_control"
"S405","P5",5,405,"sample","P5",5,"Study",FALSE,FALSE,"not_a_control"
"S406","P5",6,406,"sample","P5",6,"Study",FALSE,FALSE,"not_a_control"
"S407","P5",7,407,"sample","P5",7,"Study",FALSE,FALSE,"not_a_control"
"S408","P5",8,408,"sample","P5",8,"Study",FALSE,FALSE,"not_a_control"
"S409","P5",9,409,"sample","P5",9,"Study",FALSE,FALSE,"not_a_control"
"S410","P5",10,410,"sample","P5",10,"Study",FALSE,FALSE,"not_a_control"
"S411","P5",11,411,"control","P5",11,"QC",TRUE,FALSE,"training_control"
"S412","P5",12,412,"sample","P5",12,"Study",FALSE,FALSE,"not_a_control"
"S413","P5",13,413,"sample","P5",13,"Study",FALSE,FALSE,"not_a_control"
"S414","P5",14,414,"sample","P5",14,"Study",FALSE,FALSE,"not_a_control"
"S415","P5",15,415,"sample","P5",15,"Study",FALSE,FALSE,"not_a_control"
"S416","P5",16,416,"sample","P5",16,"Study",FALSE,FALSE,"not_a_control"
"S417","P5",17,417,"sample","P5",17,"Study",FALSE,FALSE,"not_a_control"
"S418","P5",18,418,"sample","P5",18,"Study",FALSE,FALSE,"not_a_control"
"S419","P5",19,419,"sample","P5",19,"Study",FALSE,FALSE,"not_a_control"
"S420","P5",20,420,"sample","P5",20,"Study",FALSE,FALSE,"not_a_control"
"S421","P5",21,421,"control","P5",21,"QC",TRUE,TRUE,"hidden_test"
"S422","P5",22,422,"sample","P5",22,"Study",FALSE,FALSE,"not_a_control"
"S423","P5",23,423,"sample","P5",23,"Study",FALSE,FALSE,"not_a_control"
"S424","P5",24,424,"sample","P5",24,"Study",FALSE,FALSE,"not_a_control"
"S425","P5",25,425,"sample","P5",25,"Study",FALSE,FALSE,"not_a_control"
"S426","P5",26,426,"sample","P5",26,"Study",FALSE,FALSE,"not_a_control"
"S427","P5",27,427,"sample","P5",27,"Study",FALSE,FALSE,"not_a_control"
"S428","P5",28,428,"sample","P5",28,"Study",FALSE,FALSE,"not_a_control"
"S429","P5",29,429,"sample","P5",29,"Study",FALSE,FALSE,"not_a_control"
"S430","P5",30,430,"sample","P5",30,"Study",FALSE,FALSE,"not_a_control"
"S431","P5",31,431,"control","P5",31,"QC",TRUE,FALSE,"training_control"
"S432","P5",32,432,"sample","P5",32,"Study",FALSE,FALSE,"not_a_control"
"S433","P5",33,433,"sample","P5",33,"Study",FALSE,FALSE,"not_a_control"
"S434","P5",34,434,"sample","P5",34,"Study",FALSE,FALSE,"not_a_control"
"S435","P5",35,435,"sample","P5",35,"Study",FALSE,FALSE,"not_a_control"
"S436","P5",36,436,"sample","P5",36,"Study",FALSE,FALSE,"not_a_control"
"S437","P5",37,437,"sample","P5",37,"Study",FALSE,FALSE,"not_a_control"
"S438","P5",38,438,"sample","P5",38,"Study",FALSE,FALSE,"not_a_control"
"S439","P5",39,439,"sample","P5",39,"Study",FALSE,FALSE,"not_a_control"
"S440","P5",40,440,"sample","P5",40,"Study",FALSE,FALSE,"not_a_control"
"S441","P5",41,441,"control","P5",41,"QC",TRUE,FALSE,"training_control"
"S442","P5",42,442,"sample","P5",42,"Study",FALSE,FALSE,"not_a_control"
"S443","P5",43,443,"sample","P5",43,"Study",FALSE,FALSE,"not_a_control"
"S444","P5",44,444,"sample","P5",44,"Study",FALSE,FALSE,"not_a_control"
"S445","P5",45,445,"sample","P5",45,"Study",FALSE,FALSE,"not_a_control"
"S446","P5",46,446,"sample","P5",46,"Study",FALSE,FALSE,"not_a_control"
"S447","P5",47,447,"sample","P5",47,"Study",FALSE,FALSE,"not_a_control"
"S448","P5",48,448,"sample","P5",48,"Study",FALSE,FALSE,"not_a_control"
"S449","P5",49,449,"sample","P5",49,"Study",FALSE,FALSE,"not_a_control"
"S450","P5",50,450,"sample","P5",50,"Study",FALSE,FALSE,"not_a_control"
"S451","P5",51,451,"control","P5",51,"QC",TRUE,FALSE,"training_control"
"S452","P5",52,452,"sample","P5",52,"Study",FALSE,FALSE,"not_a_control"
"S453","P5",53,453,"sample","P5",53,"Study",FALSE,FALSE,"not_a_control"
"S454","P5",54,454,"sample","P5",54,"Study",FALSE,FALSE,"not_a_control"
"S455","P5",55,455,"sample","P5",55,"Study",FALSE,FALSE,"not_a_control"
"S456","P5",56,456,"sample","P5",56,"Study",FALSE,FALSE,"not_a_control"
"S457","P5",57,457,"sample","P5",57,"Study",FALSE,FALSE,"not_a_control"
"S458","P5",58,458,"sample","P5",58,"Study",FALSE,FALSE,"not_a_control"
"S459","P5",59,459,"sample","P5",59,"Study",FALSE,FALSE,"not_a_control"
"S460","P5",60,460,"sample","P5",60,"Study",FALSE,FALSE,"not_a_control"
"S461","P5",61,461,"control","P5",61,"QC",TRUE,FALSE,"training_control"
"S462","P5",62,462,"sample","P5",62,"Study",FALSE,FALSE,"not_a_control"
"S463","P5",63,463,"sample","P5",63,"Study",FALSE,FALSE,"not_a_control"
"S464","P5",64,464,"sample","P5",64,"Study",FALSE,FALSE,"not_a_control"
"S465","P5",65,465,"sample","P5",65,"Study",FALSE,FALSE,"not_a_control"
"S466","P5",66,466,"sample","P5",66,"Study",FALSE,FALSE,"not_a_control"
"S467","P5",67,467,"sample","P5",67,"Study",FALSE,FALSE,"not_a_control"
"S468","P5",68,468,"sample","P5",68,"Study",FALSE,FALSE,"not_a_control"
"S469","P5",69,469,"sample","P5",69,"Study",FALSE,FALSE,"not_a_control"
"S470","P5",70,470,"sample","P5",70,"Study",FALSE,FALSE,"not_a_control"
"S471","P5",71,471,"control","P5",71,"QC",TRUE,FALSE,"training_control"
"S472","P5",72,472,"sample","P5",72,"Study",FALSE,FALSE,"not_a_control"
"S473","P5",73,473,"sample","P5",73,"Study",FALSE,FALSE,"not_a_control"
"S474","P5",74,474,"sample","P5",74,"Study",FALSE,FALSE,"not_a_control"
"S475","P5",75,475,"sample","P5",75,"Study",FALSE,FALSE,"not_a_control"
"S476","P5",76,476,"sample","P5",76,"Study",FALSE,FALSE,"not_a_control"
"S477","P5",77,477,"sample","P5",77,"Study",FALSE,FALSE,"not_a_control"
"S478","P5",78,478,"sample","P5",78,"Study",FALSE,FALSE,"not_a_control"
"S479","P5",79,479,"sample","P5",79,"Study",FALSE,FALSE,"not_a_control"
"S480","P5",80,480,"sample","P5",80,"Study",FALSE,FALSE,"not_a_control"
"S481","P5",81,481,"control","P5",81,"QC",TRUE,FALSE,"training_control"
"S482","P5",82,482,"sample","P5",82,"Study",FALSE,FALSE,"not_a_control"
"S483","P5",83,483,"sample","P5",83,"Study",FALSE,FALSE,"not_a_control"
"S484","P5",84,484,"sample","P5",84,"Study",FALSE,FALSE,"not_a_control"
"S485","P5",85,485,"sample","P5",85,"Study",FALSE,FALSE,"not_a_control"
"S486","P5",86,486,"sample","P5",86,"Study",FALSE,FALSE,"not_a_control"
"S487","P5",87,487,"sample","P5",87,"Study",FALSE,FALSE,"not_a_control"
"S488","P5",88,488,"sample","P5",88,"Study",FALSE,FALSE,"not_a_control"
"S489","P5",89,489,"sample","P5",89,"Study",FALSE,FALSE,"not_a_control"
"S490","P5",90,490,"sample","P5",90,"Study",FALSE,FALSE,"not_a_control"
"S491","P5",91,491,"control","P5",91,"QC",TRUE,FALSE,"training_control"
"S492","P5",92,492,"sample","P5",92,"Study",FALSE,FALSE,"not_a_control"
"S493","P5",93,493,"sample","P5",93,"Study",FALSE,FALSE,"not_a_control"
"S494","P5",94,494,"sample","P5",94,"Study",FALSE,FALSE,"not_a_control"
"S495","P5",95,495,"sample","P5",95,"Study",FALSE,FALSE,"not_a_control"
"S496","P5",96,496,"sample","P5",96,"Study",FALSE,FALSE,"not_a_control"
"S497","P5",97,497,"sample","P5",97,"Study",FALSE,FALSE,"not_a_control"
"S498","P5",98,498,"sample","P5",98,"Study",FALSE,FALSE,"not_a_control"
"S499","P5",99,499,"sample","P5",99,"Study",FALSE,FALSE,"not_a_control"
"S500","P5",100,500,"sample","P5",100,"Study",FALSE,FALSE,"not_a_control"
